ANIO,MES,ID,TIPOEDIFICIO,EDIFICIO,DIRECCION,DISTRITO,CÓDIGO DISTRITO,BARRIO,CÓDIGO BARRIO,COORDENADA-X,COORDENADA-Y,LONGITUD,LATITUD,SENSOR,TIPO,CLASE,GRUPO,UNIDADES,CONSUMO,FECHA_TIMESTAMP_INICIO,FECHA_TIMESTAMP_FIN,ID_ORGANIZACION,ID_CONSUMO,CODIGO_POSTAL,CUPS,FABRICANTE,TARIFA_ID,TIPOEDIFICIO_ID
2020,03,2258.0,Centros culturales y bibliotecas,Biblioteca Ana María Matute,"CALLE ISAAC ALBENIZ, 1 28019 MADRID",CARABANCHEL,11,SAN ISIDRO,113,438873.92,4472154.36,-3.7202936410904,40.3977521494866,AMBIBAMMATUTE_General,external,activeenergy,Activa Interruptor Gral,kWh,13099,2020-03-01T00:00:00Z,2020-03-31T23:59:59Z,AyuntamientoDeMadrid,2258.0_2020_03_AMBIBAMMATUTE_General,28019,ES2002783120652701XX,Siemens,tarifa_activa_general,centrosculturalesybibliotecas
2020,03,2258.0,Centros culturales y bibliotecas,Biblioteca Ana María Matute,"CALLE ISAAC ALBENIZ, 1 28019 MADRID",CARABANCHEL,11,SAN ISIDRO,113,438873.92,4472154.36,-3.7202936410904,40.3977521494866,AMBIBAMMATUTE_General,external,activeenergy,Reactiva tarifa 3.1A,kvarh,104,2020-03-01T00:00:00Z,2020-03-31T23:59:59Z,AyuntamientoDeMadrid,2258.0_2020_03_AMBIBAMMATUTE_General,28019,ES2002783120652701XX,Siemens,tarifa_reactivatarifa31a,centrosculturalesybibliotecas
2020,03,2178.0,Centros culturales y bibliotecas,Biblioteca Ángel González,"CALLE GRANJA DE TORREHERMOSA, 1 28024 MADRID",LATINA,10,ALUCHE,104,434962.85,4472100.21,-3.7663713097572,40.3969681670062,AMBIBAGONZALEZ_Electricidad_General,external,activeenergy,Activa Interruptor Gral,kWh,9688,2020-03-01T00:00:00Z,2020-03-31T23:59:59Z,AyuntamientoDeMadrid,2178.0_2020_03_AMBIBAGONZALEZ_Electricidad_General,28024,ES3477245831987451XX,Siemens,tarifa_activa_general,centrosculturalesybibliotecas
2020,03,2178.0,Centros culturales y bibliotecas,Biblioteca Ángel González,"CALLE GRANJA DE TORREHERMOSA, 1 28024 MADRID",LATINA,10,ALUCHE,104,434962.85,4472100.21,-3.7663713097572,40.3969681670062,AMBIBAGONZALEZ_Electricidad_General,external,activeenergy,Reactiva tarifa 3.1A,kvarh,4262,2020-03-01T00:00:00Z,2020-03-31T23:59:59Z,AyuntamientoDeMadrid,2178.0_2020_03_AMBIBAGONZALEZ_Electricidad_General,28024,ES3477245831987451XX,Siemens,tarifa_reactivatarifa31a,centrosculturalesybibliotecas
2020,03,2178.0,Centros culturales y bibliotecas,Biblioteca Ángel González,"CALLE GRANJA DE TORREHERMOSA, 1 28024 MADRID",LATINA,10,ALUCHE,104,434962.85,4472100.21,-3.7663713097572,40.3969681670062,AMBIBAGONZALEZ_Gas_General,external,gas,Gas,m3,0,2020-03-01T00:00:00Z,2020-03-31T23:59:59Z,AyuntamientoDeMadrid,2178.0_2020_03_AMBIBAGONZALEZ_Gas_General,28024,ES2256845828445918XX,Sagemcom,tarifa_gas_general,centrosculturalesybibliotecas
2020,03,2096.0,Centros culturales y bibliotecas,Biblioteca Eugenio Trías,"PASEO FERNAN NUÑEZ, 24 28009 MADRID",RETIRO,3,LOS JERONIMOS,35,442401.74,4474247.41,-3.6796432754374946,40.41678861549688,AMBIBETRIAS_Electricidad_General,external,activeenergy,Activa Interruptor Gral,kWh,14630,2020-03-01T00:00:00Z,2020-03-31T23:59:59Z,AyuntamientoDeMadrid,2096.0_2020_03_AMBIBETRIAS_Electricidad_General,28009,ES7095164623626151XX,Sagemcom,tarifa_activa_general,centrosculturalesybibliotecas
2020,03,2096.0,Centros culturales y bibliotecas,Biblioteca Eugenio Trías,"PASEO FERNAN NUÑEZ, 24 28009 MADRID",RETIRO,3,LOS JERONIMOS,35,442401.74,4474247.41,-3.6796432754374946,40.41678861549688,AMBIBETRIAS_Electricidad_General,external,activeenergy,Reactiva tarifa 3.1A,kvarh,4173,2020-03-01T00:00:00Z,2020-03-31T23:59:59Z,AyuntamientoDeMadrid,2096.0_2020_03_AMBIBETRIAS_Electricidad_General,28009,ES7095164623626151XX,Sagemcom,tarifa_reactivatarifa31a,centrosculturalesybibliotecas
2020,03,2096.0,Centros culturales y bibliotecas,Biblioteca Eugenio Trías,"PASEO FERNAN NUÑEZ, 24 28009 MADRID",RETIRO,3,LOS JERONIMOS,35,442401.74,4474247.41,-3.6796432754374946,40.41678861549688,AMBIBETRIAS_Gas_General,external,gas,Gas,m3,"1266,7",2020-03-01T00:00:00Z,2020-03-31T23:59:59Z,AyuntamientoDeMadrid,2096.0_2020_03_AMBIBETRIAS_Gas_General,28009,ES5912226647794000XX,Siemens,tarifa_gas_general,centrosculturalesybibliotecas
2020,03,1208.0,Centros culturales y bibliotecas,Biblioteca Gerardo Diego,"CALLE MONTE AYA, 12 28031 MADRID",VILLA DE VALLECAS,18,CASCO HISTORICO DE VALLECAS,181,447143.05,4469885.64,-3.6226612333620114,40.378016410030774,AMBIBGDIEGO_Electricidad_General,external,activeenergy,Activa Interruptor Gral,kWh,4308,2020-03-01T00:00:00Z,2020-03-31T23:59:59Z,AyuntamientoDeMadrid,1208.0_2020_03_AMBIBGDIEGO_Electricidad_General,28031,ES4800335628534889XX,Siemens,tarifa_activa_general,centrosculturalesybibliotecas
2020,03,1208.0,Centros culturales y bibliotecas,Biblioteca Gerardo Diego,"CALLE MONTE AYA, 12 28031 MADRID",VILLA DE VALLECAS,18,CASCO HISTORICO DE VALLECAS,181,447143.05,4469885.64,-3.6226612333620114,40.378016410030774,AMBIBGDIEGO_Electricidad_General,external,activeenergy,Reactiva tarifa 3.0A,kvarh,1449,2020-03-01T00:00:00Z,2020-03-31T23:59:59Z,AyuntamientoDeMadrid,1208.0_2020_03_AMBIBGDIEGO_Electricidad_General,28031,ES4800335628534889XX,Siemens,tarifa_reactivatarifa30a,centrosculturalesybibliotecas
